"This is a demo product.","This is a demo product.",
"You can add them to cart and place order only to test the Magento capabilities.","You can add them to cart and place order only to test the Magento capabilities.",
"Subscribe now to get special promo!","Subscribe now to get special promo!"
"This is a demo store by Iurii Stepanenko for DV Campus.","This is a demo store by Iurii Stepanenko for DV Campus."
"Orders will not be accepted!","Orders will not be accepted!"
