"Close","Close"
"Error","Error"
"Open chat","Open chat"
"Please, ask a questions!","Please, ask a questions!"
"Send","Send"
"Success","Success"
"Your message can't be send. Please, contact us if you see this message.","Your message can't be send. Please, contact us if you see this message."
